trade_date,signals_available,signals_taken,signals_skipped,wins,losses,timeouts,net_ticks,session_profitable
2025-04-10,4,3,1,1,2,0,28,True
2025-04-13,5,4,1,2,2,0,88,True
2025-04-14,7,5,2,5,0,0,300,True
2025-04-16,6,2,4,0,2,0,-32,False
2025-04-21,3,3,0,2,1,0,104,True
2025-04-22,4,4,0,3,1,0,164,True
2025-04-23,1,1,0,0,1,0,-16,False
2025-04-28,3,3,0,3,0,0,180,True
2025-04-29,4,1,3,1,0,0,60,True
2025-05-01,6,4,2,2,2,0,88,True
2025-05-05,8,6,2,6,0,0,360,True
2025-05-07,28,7,21,5,2,0,268,True
2025-05-08,7,3,4,2,1,0,104,True
2025-05-12,3,3,0,3,0,0,180,True
2025-05-13,8,5,3,4,1,0,224,True
2025-05-14,5,3,2,2,1,0,104,True
2025-05-15,4,2,2,2,0,0,120,True
2025-05-19,5,4,1,4,0,0,240,True
2025-05-20,3,3,0,3,0,0,180,True
2025-05-21,9,7,2,7,0,0,420,True
2025-05-22,15,8,7,7,1,0,404,True
2025-05-25,11,11,0,11,0,0,660,True
2025-05-26,2,2,0,2,0,0,120,True
2025-05-27,14,4,10,4,0,0,240,True
2025-05-28,3,3,0,3,0,0,180,True
2025-05-29,4,3,1,3,0,0,180,True
2025-06-02,5,5,0,5,0,0,300,True
2025-06-03,14,14,0,14,0,0,840,True
2025-06-04,20,18,2,18,0,0,1080,True
2025-06-05,14,6,8,4,2,0,208,True
2025-06-09,12,11,1,11,0,0,660,True
2025-06-10,20,18,2,17,1,0,1004,True
2025-06-11,12,12,0,11,1,0,644,True
2025-06-12,33,9,24,7,2,0,388,True
2025-06-15,4,4,0,4,0,0,240,True
2025-06-16,31,12,19,10,2,0,568,True
2025-06-17,6,2,4,0,2,0,-32,False
2025-06-18,8,2,6,0,2,0,-32,False
2025-06-19,10,2,8,0,2,0,-32,False
2025-06-24,4,4,0,4,0,0,240,True
2025-06-25,10,2,8,0,2,0,-32,False
2025-06-26,9,5,4,5,0,0,300,True
2025-06-30,3,3,0,3,0,0,180,True
2025-07-01,2,2,0,1,1,0,44,True
2025-07-02,2,1,1,1,0,0,60,True
2025-07-03,2,1,1,1,0,0,60,True
2025-07-07,6,6,0,4,2,0,208,True
2025-07-08,12,6,6,4,2,0,208,True
2025-07-09,6,3,3,2,1,0,104,True
2025-07-10,14,3,11,1,2,0,28,True
2025-07-14,4,4,0,4,0,0,240,True
2025-07-15,7,5,2,3,2,0,148,True
2025-07-16,4,3,1,3,0,0,180,True
2025-07-17,3,3,0,3,0,0,180,True
2025-07-21,7,6,1,6,0,0,360,True
2025-07-22,4,3,1,3,0,0,180,True
2025-07-24,3,2,1,2,0,0,120,True
2025-07-29,2,2,0,2,0,0,120,True
2025-07-31,8,3,5,1,2,0,28,True
2025-08-04,2,2,0,1,1,0,44,True
2025-08-05,2,2,0,1,1,0,44,True
2025-08-06,1,1,0,1,0,0,60,True
2025-08-07,1,1,0,1,0,0,60,True
2025-08-11,6,3,3,3,0,0,180,True
2025-08-12,9,6,3,6,0,0,360,True
2025-08-13,7,4,3,3,1,0,164,True
2025-08-14,8,5,3,5,0,0,300,True
2025-08-18,14,5,9,4,1,0,224,True
2025-08-19,5,3,2,2,1,0,104,True
2025-08-20,1,1,0,1,0,0,60,True
2025-08-21,11,5,6,5,0,0,300,True
2025-08-25,8,4,4,4,0,0,240,True
2025-08-26,4,4,0,4,0,0,240,True
2025-08-27,9,8,1,8,0,0,480,True
2025-08-31,1,1,0,1,0,0,60,True
2025-09-01,15,10,5,9,1,0,524,True
2025-09-02,1,1,0,1,0,0,60,True
2025-09-03,4,4,0,4,0,0,240,True
2025-09-07,2,2,0,2,0,0,120,True
2025-09-08,9,8,1,8,0,0,480,True
2025-09-11,9,9,0,9,0,0,540,True
2025-09-15,9,9,0,9,0,0,540,True
2025-09-16,7,7,0,7,0,0,420,True
2025-09-18,5,2,3,0,2,0,-32,False
2025-09-22,4,4,0,4,0,0,240,True
2025-09-23,4,2,2,2,0,0,120,True
2025-09-25,17,5,12,3,2,0,148,True
2025-09-29,4,2,2,2,0,0,120,True
2025-10-01,5,5,0,5,0,0,300,True
2025-10-02,5,4,1,4,0,0,240,True
2025-10-06,12,2,10,0,2,0,-32,False
2025-10-07,5,5,0,5,0,0,300,True
2025-10-08,4,2,2,1,1,0,44,True
2025-10-09,3,1,2,1,0,0,60,True
2025-10-13,4,1,3,0,1,0,-16,False
2025-10-14,2,1,1,1,0,0,60,True
2025-10-15,11,2,9,0,2,0,-32,False
2025-10-20,4,2,2,2,0,0,120,True
2025-10-21,10,3,7,1,2,0,28,True
2025-10-22,7,3,4,2,1,0,104,True
2025-10-27,7,6,1,6,0,0,360,True
2025-10-28,27,4,23,4,0,0,240,True
2025-10-29,6,6,0,5,1,0,284,True
2025-10-30,8,2,6,0,2,0,-32,False
2025-11-03,3,2,1,2,0,0,120,True
2025-11-04,3,3,0,2,1,0,104,True
2025-11-05,1,1,0,0,1,0,-16,False
2025-11-06,6,6,0,6,0,0,360,True
2025-11-10,15,5,10,5,0,0,300,True
2025-11-11,9,8,1,7,1,0,404,True
2025-11-12,16,8,8,6,2,0,328,True
2025-11-16,1,1,0,1,0,0,60,True
2025-11-17,6,6,0,5,1,0,284,True
2025-11-18,12,7,5,6,1,0,344,True
2025-11-20,1,1,0,1,0,0,60,True
2025-11-24,9,9,0,9,0,0,540,True
2025-11-25,2,2,0,2,0,0,120,True
2025-12-01,10,9,1,8,1,0,464,True
2025-12-02,10,9,1,9,0,0,540,True
2025-12-03,8,5,3,5,0,0,300,True
2025-12-04,7,5,2,5,0,0,300,True
2025-12-08,13,13,0,13,0,0,780,True
2025-12-09,8,5,3,5,0,0,300,True
2025-12-10,5,5,0,5,0,0,300,True
2025-12-11,3,3,0,3,0,0,180,True
2025-12-15,6,2,4,0,2,0,-32,False
2025-12-16,2,2,0,0,2,0,-32,False
2025-12-18,11,2,9,0,2,0,-32,False
2025-12-22,3,3,0,3,0,0,180,True
2025-12-30,2,2,0,2,0,0,120,True
2026-01-01,2,1,1,1,0,0,60,True
2026-01-04,1,1,0,1,0,0,60,True
2026-01-05,4,3,1,3,0,0,180,True
2026-01-06,2,2,0,2,0,0,120,True
2026-01-07,3,3,0,3,0,0,180,True
2026-01-08,9,7,2,7,0,0,420,True
2026-01-13,2,1,1,0,1,0,-16,False
2026-01-14,1,1,0,0,1,0,-16,False
2026-01-15,1,1,0,1,0,0,60,True
2026-01-19,14,10,4,9,1,0,524,True
2026-01-20,1,1,0,0,1,0,-16,False
2026-01-22,2,2,0,2,0,0,120,True
2026-01-26,2,2,0,2,0,0,120,True
2026-01-28,6,5,1,3,2,0,148,True
2026-01-29,4,4,0,2,2,0,88,True
2026-02-01,2,2,0,1,1,0,44,True
2026-02-02,7,5,2,5,0,0,300,True
2026-02-03,8,8,0,7,1,0,404,True
2026-02-04,12,11,1,9,2,0,508,True
2026-02-05,4,4,0,2,2,0,88,True
2026-02-08,5,3,2,3,0,0,180,True
2026-02-09,7,5,2,3,2,0,148,True
2026-02-10,2,2,0,2,0,0,120,True
2026-02-11,10,2,8,0,2,0,-32,False
2026-02-12,4,4,0,4,0,0,240,True
2026-02-16,11,8,3,6,2,0,328,True
2026-02-18,10,8,2,8,0,0,480,True
2026-02-19,8,6,2,4,2,0,208,True
2026-02-22,3,3,0,3,0,0,180,True
2026-02-23,7,7,0,6,1,0,344,True
2026-02-24,7,6,1,6,0,0,360,True
2026-02-25,1,1,0,1,0,0,60,True
2026-03-01,4,4,0,4,0,0,240,True
2026-03-02,6,5,1,4,1,0,224,True
2026-03-03,10,6,4,4,2,0,208,True
2026-03-04,12,9,3,7,2,0,388,True
2026-03-05,9,8,1,8,0,0,480,True
2026-03-09,9,8,1,6,2,0,328,True
2026-03-10,9,9,0,9,0,0,540,True
2026-03-11,11,2,9,0,2,0,-32,False
2026-03-12,4,3,1,1,2,0,28,True
2026-03-16,3,2,1,0,2,0,-32,False
2026-03-17,2,2,0,1,1,0,44,True
2026-03-18,22,5,17,3,2,0,148,True
2026-03-19,15,11,4,9,2,0,508,True
2026-03-23,7,3,4,1,2,0,28,True
2026-03-25,2,1,1,0,1,0,-16,False
2026-03-30,6,5,1,4,1,0,224,True
2026-03-31,2,2,0,2,0,0,120,True
2026-04-01,16,2,14,0,2,0,-32,False
2026-04-02,10,5,5,4,1,0,224,True
